TO:0000339 ! stem thickness	TO:0000168 ! abiotic stress trait	CO_321:0000062 ! Stem thickness	CO_321:0000076 ! Abiotic stress trait
TO:0000339 ! stem thickness	TO:0000597 ! quality trait	CO_321:0000062 ! Stem thickness	CO_321:0000003 ! Quality trait
TO:0000339 ! stem thickness	TO:0000164 ! stress trait	CO_321:0000062 ! Stem thickness	CO_321:0000004 ! Stress trait
TO:0020051 ! barley leaf scald disease resistance	TO:0000236 ! crop damage resistance	CO_321:0000171 ! Barley scald	CO_321:0000083 ! Animal damage
TO:0000566 ! stomatal frequency	TO:0000168 ! abiotic stress trait	CO_321:0000143 ! Stomatal frequency	CO_321:0000076 ! Abiotic stress trait
TO:0000566 ! stomatal frequency	TO:0000164 ! stress trait	CO_321:0000143 ! Stomatal frequency	CO_321:0000004 ! Stress trait
TO:0020052 ! barley spot blotch disease resistance	TO:0000236 ! crop damage resistance	CO_321:0000116 ! Spot blotch	CO_321:0000083 ! Animal damage
TO:0000157 ! canopy temperature	TO:0000168 ! abiotic stress trait	CO_321:0000193 ! Canopy temperature	CO_321:0000076 ! Abiotic stress trait
TO:0000157 ! canopy temperature	TO:0000164 ! stress trait	CO_321:0000193 ! Canopy temperature	CO_321:0000004 ! Stress trait
TO:0000057 ! grain moisture	TO:0000597 ! quality trait	CO_321:0000012 ! Grain moisture	CO_321:0000003 ! Quality trait
TO:0001034 ! relative plant height	TO:0000207 ! plant height	CO_321:0000024 ! Relative plant height	CO_321:0000020 ! Plant height
TO:0000612 ! grain density	TO:0002728 ! fruit quality trait	CO_321:0000159 ! Test weight	CO_321:0000395 ! Alveograph ratio P/G
TO:0020055 ! wheat stripe rust disease resistance	TO:0000236 ! crop damage resistance	CO_321:0000129 ! Stripe rust severity	CO_321:0000083 ! Animal damage
TO:0000273 ! armyworm resistance	TO:0000236 ! crop damage resistance	CO_321:0000086 ! Armyworm damage	CO_321:0000083 ! Animal damage
TO:0020067 ! barley yellow dwarf virus disease resistance	TO:0000236 ! crop damage resistance	CO_321:0000096 ! Barley yellow dwarf	CO_321:0000083 ! Animal damage
TO:0020067 ! barley yellow dwarf virus disease resistance	TO:0000236 ! crop damage resistance	CO_321:0000096 ! Barley yellow dwarf	CO_321:0000083 ! Animal damage
TO:0000576 ! stem length	TO:0000168 ! abiotic stress trait	CO_321:0000060 ! Stem height	CO_321:0000076 ! Abiotic stress trait
TO:0000576 ! stem length	TO:0000164 ! stress trait	CO_321:0000060 ! Stem height	CO_321:0000004 ! Stress trait
TO:0000148 ! viral disease resistance	TO:0000236 ! crop damage resistance	CO_321:0000139 ! Viral disease	CO_321:0000083 ! Animal damage
TO:0000148 ! viral disease resistance	TO:0000236 ! crop damage resistance	CO_321:0000139 ! Viral disease	CO_321:0000083 ! Animal damage
TO:0000439 ! fungal disease resistance	TO:0000236 ! crop damage resistance	CO_321:0000122 ! Fungal disease	CO_321:0000083 ! Animal damage
TO:0000315 ! bacterial disease resistance	TO:0000236 ! crop damage resistance	CO_321:0000137 ! Bacterial disease	CO_321:0000083 ! Animal damage
TO:0000315 ! bacterial disease resistance	TO:0000236 ! crop damage resistance	CO_321:0000137 ! Bacterial disease	CO_321:0000083 ! Animal damage
CO_321:0000222 ! Iron content	CO_321:0000003 ! Quality trait	TO:0020089 ! iron content	TO:0000597 ! quality trait
CO_321:0000222 ! Iron content	CO_321:0000003 ! Quality trait	TO:0020089 ! iron content	TO:0000597 ! quality trait
CO_321:0000222 ! Iron content	CO_321:0000003 ! Quality trait	TO:0020089 ! iron content	TO:0000597 ! quality trait
CO_321:0000222 ! Iron content	CO_321:0000003 ! Quality trait	TO:0020089 ! iron content	TO:0000597 ! quality trait
CO_321:0000224 ! Zinc content	CO_321:0000003 ! Quality trait	TO:0020090 ! zinc content	TO:0000597 ! quality trait
CO_321:0000224 ! Zinc content	CO_321:0000003 ! Quality trait	TO:0020090 ! zinc content	TO:0000597 ! quality trait
CO_321:0000224 ! Zinc content	CO_321:0000003 ! Quality trait	TO:0020090 ! zinc content	TO:0000597 ! quality trait
CO_321:0000224 ! Zinc content	CO_321:0000003 ! Quality trait	TO:0020090 ! zinc content	TO:0000597 ! quality trait
CO_321:0000030 ! Days to flag leaf emergence	CO_321:0000010 ! Phenological trait	TO:0001008 ! days to flag leaf emergence	TO:0000933 ! plant phenological trait
CO_321:0000030 ! Days to flag leaf emergence	CO_321:0000010 ! Phenological trait	TO:0001008 ! days to flag leaf emergence	TO:0000933 ! plant phenological trait
CO_321:0000030 ! Days to flag leaf emergence	CO_321:0000010 ! Phenological trait	TO:0001008 ! days to flag leaf emergence	TO:0000933 ! plant phenological trait
CO_321:0000030 ! Days to flag leaf emergence	CO_321:0000010 ! Phenological trait	TO:0001008 ! days to flag leaf emergence	TO:0000933 ! plant phenological trait
CO_321:0000008 ! Days to maturity	CO_321:0000010 ! Phenological trait	TO:0000469 ! days to maturity	TO:0000933 ! plant phenological trait
CO_321:0000008 ! Days to maturity	CO_321:0000010 ! Phenological trait	TO:0000469 ! days to maturity	TO:0000933 ! plant phenological trait
CO_321:0000008 ! Days to maturity	CO_321:0000010 ! Phenological trait	TO:0000469 ! days to maturity	TO:0000933 ! plant phenological trait
CO_321:0000008 ! Days to maturity	CO_321:0000010 ! Phenological trait	TO:0000469 ! days to maturity	TO:0000933 ! plant phenological trait
CO_321:0000223 ! Phosphorous content	CO_321:0000003 ! Quality trait	TO:0001024 ! phosphorus content	TO:0000597 ! quality trait
CO_321:0000223 ! Phosphorous content	CO_321:0000003 ! Quality trait	TO:0001024 ! phosphorus content	TO:0000597 ! quality trait
CO_321:0000223 ! Phosphorous content	CO_321:0000003 ! Quality trait	TO:0001024 ! phosphorus content	TO:0000597 ! quality trait
CO_321:0000223 ! Phosphorous content	CO_321:0000003 ! Quality trait	TO:0001024 ! phosphorus content	TO:0000597 ! quality trait
